Hydrogen,,,Helium,,,Nitrogen,,,Mystery Tube K,,,Mystery Tube I,,,Mercury Control,,,Mercury Clear Glasses,,,Mercury Sunglasses,,,Incandescant Bulb,,,CFL Bulb,,,Halogen Bulb,
209.77,-20.89,,209.77,-28.5,,209.77,-4.63,,209.77,-21.19,,209.77,43.58,,209.77,32.53,,209.77,-89.39,,209.77,-12.24,,209.77,162.67,,209.77,37.61,,209.77,299.52
210.038,40,,210.038,5.52,,210.038,40.15,,210.038,46.86,,210.038,0.6,,210.038,-3.28,,210.038,-67.9,,210.038,71.93,,210.038,316.69,,210.038,35.82,,210.038,337.13
210.306,0.6,,210.306,7.31,,210.306,36.56,,210.306,55.82,,210.306,20.3,,210.306,54.02,,210.306,9.1,,210.306,-49.85,,210.306,255.8,,210.306,26.86,,210.306,261.91
210.573,50.74,,210.573,123.72,,210.573,109.99,,210.573,91.63,,210.573,4.18,,210.573,41.49,,210.573,98.65,,210.573,70.14,,210.573,354.29,,210.573,55.52,,210.573,278.03
210.841,48.95,,210.841,-44.62,,210.841,41.94,,210.841,-53.43,,210.841,20.3,,210.841,39.7,,210.841,-8.81,,210.841,-39.1,,210.841,261.17,,210.841,7.16,,210.841,150.88
211.109,-11.94,,211.109,9.1,,211.109,59.84,,211.109,-17.61,,211.109,18.51,,211.109,120.29,,211.109,82.53,,211.109,7.46,,211.109,248.63,,211.109,12.54,,211.109,353.25
211.377,29.25,,211.377,138.05,,211.377,15.07,,211.377,-5.07,,211.377,40,,211.377,12.83,,211.377,0.15,,211.377,-14.03,,211.377,314.89,,211.377,-96.71,,211.377,258.33
211.644,-22.68,,211.644,34.18,,211.644,52.68,,211.644,43.28,,211.644,22.09,,211.644,52.23,,211.644,28.8,,211.644,79.1,,211.644,262.96,,211.644,-17.91,,211.644,321.01
211.912,23.88,,211.912,-64.32,,211.912,13.28,,211.912,-46.26,,211.912,31.04,,211.912,68.35,,211.912,48.5,,211.912,-65.96,,211.912,323.85,,211.912,-68.05,,211.912,256.54
212.179,-11.94,,212.179,-5.22,,212.179,65.22,,212.179,9.25,,212.179,-49.55,,212.179,113.12,,212.179,-41.04,,212.179,37.91,,212.179,277.29,,212.179,-28.65,,212.179,186.7
212.447,-81.78,,212.447,-39.25,,212.447,24.03,,212.447,-1.49,,212.447,27.46,,212.447,71.93,,212.447,-28.5,,212.447,-57.01,,212.447,159.09,,212.447,-57.31,,212.447,261.91
212.715,52.53,,212.715,61.04,,212.715,49.1,,212.715,-12.24,,212.715,-11.94,,212.715,79.1,,212.715,-15.97,,212.715,-10.45,,212.715,382.95,,212.715,-30.44,,212.715,265.5
212.982,206.55,,212.982,145.21,,212.982,135.06,,212.982,118.5,,212.982,140.28,,212.982,120.29,,212.982,155.95,,212.982,175.8,,212.982,406.23,,212.982,105.66,,212.982,406.97
